X,Y,Z
5.303333,-3.186020135213248e-09,0.1468727
5.303333,-8.27907611774275e-09,0.1468727
5.343009,1.257872008712092e-10,0.169048
5.343009,-1.159091440729144e-08,0.169048
5.382685,3.4375945359541073e-09,0.1912233
5.382685,-1.4902752708858866e-08,0.1912233
5.413636,0.003130083167641074,0.20231099326746368
5.413636,-0.003130080116320812,0.20231099326746368
5.424748,0.0031749994959682226,0.20231099326746368
5.424748,-0.0031749962363392115,0.20231099326746368
5.435861,0.0031749994959682226,0.20231099326746368
5.435861,-0.0031749962363392115,0.20231099326746368
5.446973,0.0031749994959682226,0.20231099326746368
5.446973,-0.0031749962363392115,0.20231099326746368
5.458086,0.0031749994959682226,0.20231099326746368
5.458086,-0.0031749962363392115,0.20231099326746368
5.469198,0.0031749994959682226,0.20231099326746368
5.469198,-0.0031749962363392115,0.20231099326746368
5.480311,0.0031749994959682226,0.20231099326746368
5.480311,-0.0031749962363392115,0.20231099326746368
5.491423,3.4344704712802935e-07,0.20231099326746368
5.491423,-3.5491049851797293e-07,0.20231099326746368
5.493372,1.0143041987008409e-07,0.1792508
5.493372,-1.1289649589580263e-07,0.1792508
5.494346,2.633774281707408e-07,0.1677208
5.494346,-2.7484502082451774e-07,0.1677208
5.49532,4.301858992109249e-07,0.1561907
5.49532,-4.416550540202462e-07,0.1561907
5.496295,2.16712632595548e-08,0.1446606
5.496295,-3.313659234256282e-08,0.1446606
5.497269,1.884797342977358e-07,0.1331305
5.497269,-1.999466255365386e-07,0.1331305
5.498243,3.5528820533791993e-07,0.1216004
5.498243,-3.667566587320167e-07,0.1216004
5.500192,1.0872057768820809e-07,0.0985403
5.500192,-1.2018672198467592e-07,0.0985403
5.501166,2.7552904923843313e-07,0.0870102
5.501166,-2.869967556904465e-07,0.0870102
5.50214,4.423375202773653e-07,0.0754801
5.50214,-4.538067888854239e-07,0.0754801
5.503115,3.382288381470236e-08,0.06395
5.503115,-4.52883266964464e-08,0.06395
5.504089,5.6143302801500505e-06,0.0524199
5.504089,-4.266914562803794e-06,0.0524199
5.498544,0.003174848855598963,0.0527324
5.498544,-0.003174845598674308,0.0527324
5.478839,0.0031750143940594226,0.0647095
5.478839,-0.0031750111367281615,0.0647095
5.466933,0.0031750131553238948,0.0647095
5.466933,-0.0031750098957982692,0.0647095
5.455027,0.003175011913517771,0.0647095
5.455027,-0.003175008653992145,0.0647095
5.443122,0.0031750106718159477,0.0647095
5.443122,-0.003175007412290322,0.0647095
5.431216,0.003175009430009824,0.0647095
5.431216,-0.003175006170484198,0.0647095
5.419311,0.003175008188308001,0.0647095
5.419311,-0.003175004928782375,0.0647095
5.407405,0.003175006946501877,0.0647095
5.407405,-0.0031750036869762515,0.0647095
5.3955,0.003175005704800054,0.0647095
