##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/18 00:09:46
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.38018953e+05, 1.47649670e+00, 3.61790070e+02, 1.35211945e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38018953e+05, 3.25589355e+02, 3.21771097e+00, 4.10832906e+05, 4.44715332e+02, 4.89183044e+02, 4.48542816e+02, 1.21996078e+02, 1.52401993e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.38018969e+05, 1.47649670e+00, 3.61790070e+02, 1.35211921e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38018969e+05, 3.25589325e+02, 3.21770978e+00, 4.10832750e+05, 4.44715332e+02, 4.89182861e+02, 4.48542725e+02, 1.21995476e+02, 1.52402069e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.37684734e+05, 1.47299528e+00, 3.61781189e+02, 1.35223913e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37684734e+05, 3.25573242e+02, 3.21047115e+00, 4.09907781e+05, 4.44714539e+02, 4.89210571e+02, 4.46467529e+02, 1.25413048e+02, 1.55773209e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.37685172e+05, 1.47299957e+00, 3.61781189e+02, 1.35223877e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37685172e+05, 3.25573273e+02, 3.21047974e+00, 4.09908906e+05, 4.44714539e+02, 4.89210510e+02, 4.46467163e+02, 1.25413414e+02, 1.55773834e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.36123578e+05, 1.45929372e+00, 3.61408905e+02, 1.35743344e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.36123578e+05, 3.24903625e+02, 3.19700861e+00, 4.08189375e+05, 4.44715057e+02, 4.90588348e+02, 4.47593811e+02, 1.24383659e+02, 1.57687668e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.36124156e+05, 1.45929933e+00, 3.61408997e+02, 1.35743237e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.36124156e+05, 3.24903748e+02, 3.19701910e+00, 4.08190750e+05, 4.44715027e+02, 4.90588196e+02, 4.47593231e+02, 1.24383850e+02, 1.57688690e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 5.88334492e+04, 7.21402168e-01, 3.37826996e+02, 1.68216920e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 5.88334492e+04, 2.83896088e+02, 2.21146441e+00, 2.82315500e+05, 4.44650269e+02, 5.68032532e+02, 5.55732910e+02, 1.12648781e+02, -3.36472588e+01
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 9.30544219e+04, 1.05611610e+00, 3.51216736e+02, 1.49829841e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.30544219e+04, 3.06837982e+02, 2.66785598e+00, 3.40607594e+05, 4.44688324e+02, 5.26155579e+02, 5.10383942e+02, 4.21058083e+01, 1.20727028e+02
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 4.75019766e+04, 6.09647810e-01, 3.30300201e+02, 1.78613555e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.75019766e+04, 2.71379639e+02, 2.09324002e+00, 2.67217375e+05, 4.44641144e+02, 5.89858276e+02, 5.63229248e+02, 1.51073624e+02, -8.87826691e+01
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 8.71938125e+04, 1.03272426e+00, 3.43832550e+02, 1.59980297e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.71938125e+04, 2.94070435e+02, 2.90198493e+00, 3.70502625e+05, 4.44692719e+02, 5.50047424e+02, 5.29975708e+02, 7.34925842e+01, 1.27580475e+02
5.43586111e+00, 3.17499950e-03, 2.02310994e-01, 4.27722383e+04, 5.59419930e-01, 3.27208557e+02, 1.82904124e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.27722383e+04, 2.66321777e+02, 2.01328659e+00, 2.57001328e+05, 4.44624695e+02, 5.98460144e+02, 5.55491394e+02, 1.87166473e+02, -1.20634148e+02
5.43586111e+00, -3.17499624e-03, 2.02310994e-01, 8.34408672e+04, 9.95687187e-01, 3.42555908e+02, 1.61734784e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.34408672e+04, 2.91890289e+02, 2.85059094e+00, 3.63941813e+05, 4.44693665e+02, 5.54024902e+02, 5.28569397e+02, 7.38714905e+01, 1.48663940e+02
5.44697285e+00, 3.17499950e-03, 2.02310994e-01, 3.83913359e+04, 4.97538269e-01, 3.28675781e+02, 1.80856740e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.83913359e+04, 2.68718628e+02, 1.75027072e+00, 2.23421016e+05, 4.44613495e+02, 5.94343201e+02, 5.46053528e+02, 1.93495407e+02, -1.32773727e+02
5.44697285e+00, -3.17499624e-03, 2.02310994e-01, 8.27073594e+04, 9.93168414e-01, 3.41471222e+02, 1.63226891e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.27073594e+04, 2.90047180e+02, 2.88891983e+00, 3.68837469e+05, 4.44696198e+02, 5.57339783e+02, 5.27986816e+02, 7.60687866e+01, 1.61465500e+02
5.45808601e+00, 3.17499950e-03, 2.02310994e-01, 3.39742383e+04, 4.50273871e-01, 3.25376099e+02, 1.85465026e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.39742383e+04, 2.63374451e+02, 1.67795956e+00, 2.14186203e+05, 4.44604523e+02, 6.02806946e+02, 5.45573303e+02, 2.14716415e+02, -1.40081497e+02
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 7.77072813e+04, 9.39298153e-01, 3.40356476e+02, 1.64757478e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.77072813e+04, 2.88154144e+02, 2.77714801e+00, 3.54564594e+05, 4.44692810e+02, 5.60731201e+02, 5.28250427e+02, 7.72207870e+01, 1.71487457e+02
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 3.15026777e+04, 4.06158239e-01, 3.29567963e+02, 1.79610324e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.15026777e+04, 2.70176849e+02, 1.41015923e+00, 1.80001797e+05, 4.44603119e+02, 5.91927307e+02, 5.37650574e+02, 2.00094910e+02, -1.45848618e+02
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 7.70605078e+04, 9.40239370e-01, 3.38766418e+02, 1.66944659e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.70605078e+04, 2.85468323e+02, 2.84572816e+00, 3.63319750e+05, 4.44692169e+02, 5.65546997e+02, 5.31362427e+02, 7.44852829e+01, 1.78743652e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 3.25180391e+04, 4.26718384e-01, 3.26668945e+02, 1.83635879e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.25180391e+04, 2.65445557e+02, 1.54826939e+00, 1.97622047e+05, 4.44582947e+02, 5.99815002e+02, 5.37281250e+02, 2.27201752e+02, -1.39593170e+02
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 7.56076328e+04, 9.55274045e-01, 3.32910461e+02, 1.75024259e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.56076328e+04, 2.75689087e+02, 3.15555239e+00, 4.02875594e+05, 4.44692169e+02, 5.82619019e+02, 5.50801514e+02, 6.44409027e+01, 1.78633713e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 1.85280703e+04, 2.17810333e-01, 3.45128296e+02, 1.58160043e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.85280703e+04, 2.96290833e+02, 6.00455105e-01, 7.66483125e+04, 4.44616821e+02, 5.45838318e+02, 4.89903717e+02, 2.40692764e+02, 8.81452322e-01
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 1.85328164e+04, 2.17871591e-01, 3.45128998e+02, 1.58159089e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.85328164e+04, 2.96291931e+02, 6.00667059e-01, 7.66753750e+04, 4.44616821e+02, 5.45846191e+02, 4.89903198e+02, 2.40711624e+02, 9.12851155e-01
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 3.22465156e+04, 3.05308521e-01, 3.84520111e+02, 1.02055514e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.22465156e+04, 3.67793030e+02, 4.89883453e-01, 6.25134648e+04, 4.44472290e+02, 3.92261902e+02, 3.50065002e+02, 1.64250610e+02, 6.59214478e+01
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 3.22495645e+04, 3.05345297e-01, 3.84513550e+02, 1.02064455e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.22495645e+04, 3.67781952e+02, 4.90024447e-01, 6.25314688e+04, 4.44472351e+02, 3.92279846e+02, 3.50087524e+02, 1.64245331e+02, 6.59217453e+01
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 3.52624648e+04, 3.26144397e-01, 3.89089539e+02, 9.48783219e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.52624648e+04, 3.76581024e+02, 4.93380457e-01, 6.29529219e+04, 4.44424286e+02, 3.69100677e+02, 3.39408264e+02, 1.37426620e+02, 4.63816910e+01
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 3.52633359e+04, 3.26152653e-01, 3.89089294e+02, 9.48785901e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.52633359e+04, 3.76580688e+02, 4.93403316e-01, 6.29558359e+04, 4.44424286e+02, 3.69142700e+02, 3.39410675e+02, 1.37532166e+02, 4.63856354e+01
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.69996523e+04, 3.40862095e-01, 3.89860382e+02, 9.35994446e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.69996523e+04, 3.78075256e+02, 5.10424674e-01, 6.51188633e+04, 4.44364197e+02, 3.64812439e+02, 3.34038208e+02, 1.41984833e+02, 3.66999321e+01
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.70005586e+04, 3.40872645e-01, 3.89858490e+02, 9.36020792e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.70005586e+04, 3.78072235e+02, 5.10478318e-01, 6.51257148e+04, 4.44364227e+02, 3.64884338e+02, 3.34046295e+02, 1.42151352e+02, 3.66965714e+01
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.78323242e+04, 3.48883897e-01, 3.89666290e+02, 9.38385963e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.78323242e+04, 3.77696320e+02, 5.23351550e-01, 6.67518438e+04, 4.44256470e+02, 3.65640228e+02, 3.31843414e+02, 1.50493423e+02, 3.04044743e+01
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.78306445e+04, 3.48868608e-01, 3.89666534e+02, 9.38383341e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.78306445e+04, 3.77696686e+02, 5.23323894e-01, 6.67483047e+04, 4.44256378e+02, 3.65645203e+02, 3.31841583e+02, 1.50509811e+02, 3.04036007e+01
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.74028555e+04, 3.45939517e-01, 3.89092133e+02, 9.46217179e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.74028555e+04, 3.76585297e+02, 5.22229195e-01, 6.65796250e+04, 4.44062286e+02, 3.68118866e+02, 3.33060822e+02, 1.54695374e+02, 2.55210400e+01
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.74039805e+04, 3.45950961e-01, 3.89091614e+02, 9.46224332e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.74039805e+04, 3.76584503e+02, 5.22263229e-01, 6.65839844e+04, 4.44062347e+02, 3.68153076e+02, 3.33064575e+02, 1.54769455e+02, 2.55165253e+01
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.75543828e+04, 3.48793685e-01, 3.88277496e+02, 9.57901120e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.75543828e+04, 3.75011688e+02, 5.31554043e-01, 6.77402500e+04, 4.43877502e+02, 3.71843597e+02, 3.33874908e+02, 1.63027344e+02, 1.47405739e+01
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.75554180e+04, 3.48805010e-01, 3.88276825e+02, 9.57910299e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.75554180e+04, 3.75010590e+02, 5.31594157e-01, 6.77453594e+04, 4.43877441e+02, 3.71911713e+02, 3.33880829e+02, 1.63171570e+02, 1.47295303e+01
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.84807383e+04, 3.55403483e-01, 3.89354126e+02, 9.37958360e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84807383e+04, 3.77093872e+02, 5.32933295e-01, 6.78572188e+04, 4.43493256e+02, 3.65124969e+02, 3.29753418e+02, 1.56573700e+02, 7.97425699e+00
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.84737500e+04, 3.55337411e-01, 3.89356628e+02, 9.37924027e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.84737500e+04, 3.77097931e+02, 5.32798290e-01, 6.78399297e+04, 4.43492798e+02, 3.65141571e+02, 3.29740387e+02, 1.56640228e+02, 7.96755552e+00
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.87322656e+04, 3.55037391e-01, 3.90841064e+02, 9.12883461e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.87322656e+04, 3.79978943e+02, 5.22017598e-01, 6.64461953e+04, 4.43351929e+02, 3.56728394e+02, 3.26152130e+02, 1.43931061e+02, -1.27982130e+01
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.87340742e+04, 3.55056256e-01, 3.90840820e+02, 9.12885904e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.87340742e+04, 3.79978607e+02, 5.22063613e-01, 6.64520625e+04, 4.43351959e+02, 3.56774506e+02, 3.26156128e+02, 1.44035522e+02, -1.28060789e+01
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.16590078e+04, 2.96495229e-01, 3.86616760e+02, 9.80265319e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.16590078e+04, 3.71813416e+02, 4.59971696e-01, 5.85444063e+04, 4.43320984e+02, 3.78785339e+02, 3.41788818e+02, 1.57296448e+02, -4.37785492e+01
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.16620156e+04, 2.96498805e-01, 3.86637482e+02, 9.79970515e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.16620156e+04, 3.71849396e+02, 4.59764749e-01, 5.85179805e+04, 4.43320679e+02, 3.78795654e+02, 3.41731842e+02, 1.57441772e+02, -4.37901611e+01
5.50311518e+00, 3.38228823e-08, 6.39500022e-02, 2.32450508e+04, 2.19621867e-01, 3.84988495e+02, 1.00632668e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.32450508e+04, 3.68683990e+02, 3.48372132e-01, 4.43487383e+04, 4.43406860e+02, 3.87299255e+02, 3.42583466e+02, 1.44183121e+02, -1.08850883e+02
5.50311518e+00, -4.52883278e-08, 6.39500022e-02, 2.32428789e+04, 2.19600022e-01, 3.84989960e+02, 1.00630522e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.32428789e+04, 3.68686401e+02, 3.48322719e-01, 4.43424336e+04, 4.43406677e+02, 3.87300659e+02, 3.42574493e+02, 1.44207733e+02, -1.08851448e+02
5.50408888e+00, 5.61433035e-06, 5.24199009e-02, 4.94968711e+04, 5.25212646e-01, 3.63285889e+02, 1.32484603e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.94968711e+04, 3.28293793e+02, 1.11524642e+00, 1.42038172e+05, 4.43605804e+02, 4.81195862e+02, 4.72947174e+02, 1.09613924e+01, -8.80355835e+01
5.50408888e+00, -4.26691440e-06, 5.24199009e-02, 4.94936758e+04, 5.25162399e-01, 3.63290710e+02, 1.32477689e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 4.94936758e+04, 3.28301483e+02, 1.11495340e+00, 1.42000703e+05, 4.43605469e+02, 4.81161926e+02, 4.72893677e+02, 1.16955795e+01, -8.80432053e+01
5.49854422e+00, 3.17484885e-03, 5.27324006e-02, 9.42467344e+04, 9.77248728e-01, 3.67479401e+02, 1.26851761e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.42467344e+04, 3.35910004e+02, 1.96296990e+00, 2.50273438e+05, 4.44083862e+02, 4.66150177e+02, 4.50068146e+02, -1.06637306e+02, -5.79927254e+01
5.49854422e+00, -3.17484559e-03, 5.27324006e-02, 1.20532352e+05, 1.21171963e+00, 3.73209503e+02, 1.18718100e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20532352e+05, 3.46467316e+02, 2.25421476e+00, 2.87476219e+05, 4.44191681e+02, 4.43063019e+02, 4.27540924e+02, 1.02403412e+02, -5.50195389e+01
5.47883892e+00, 3.17501440e-03, 6.47094995e-02, 8.44006250e+04, 1.00048566e+00, 3.43693146e+02, 1.60039163e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.44006250e+04, 2.93831726e+02, 2.81331635e+00, 3.58980438e+05, 4.44443024e+02, 5.50043701e+02, 5.50021301e+02, -4.78198004e+00, -1.33838165e+00
5.47883892e+00, -3.17501114e-03, 6.47094995e-02, 1.07666000e+05, 1.21611416e+00, 3.52091583e+02, 1.48543382e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.07666000e+05, 3.08367157e+02, 3.03264308e+00, 3.87048531e+05, 4.44537079e+02, 5.23008728e+02, 5.22669373e+02, 1.82367718e+00, -1.87491608e+01
5.46693277e+00, 3.17501323e-03, 6.47094995e-02, 8.85124688e+04, 1.02732289e+00, 3.47337891e+02, 1.55090773e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.85124688e+04, 3.00096680e+02, 2.74216294e+00, 3.49988563e+05, 4.44553986e+02, 5.38688293e+02, 5.38628113e+02, -2.60370135e+00, 7.62076855e+00
5.46693277e+00, -3.17500997e-03, 6.47094995e-02, 1.12856914e+05, 1.24982929e+00, 3.55584045e+02, 1.43769932e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12856914e+05, 3.14514984e+02, 2.96806288e+00, 3.78874438e+05, 4.44616974e+02, 5.11222321e+02, 5.11116180e+02, -8.87252808e-01, -1.03792992e+01
5.45502710e+00, 3.17501184e-03, 6.47094995e-02, 8.89345859e+04, 1.03127933e+00, 3.47496155e+02, 1.54877782e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.89345859e+04, 3.00370300e+02, 2.74658322e+00, 3.50559406e+05, 4.44562378e+02, 5.38193115e+02, 5.38148315e+02, -1.32096338e+00, 6.81687212e+00
5.45502710e+00, -3.17500858e-03, 6.47094995e-02, 1.12731969e+05, 1.24855816e+00, 3.55567383e+02, 1.43796337e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.12731969e+05, 3.14485596e+02, 2.96582699e+00, 3.78594281e+05, 4.44623199e+02, 5.11291901e+02, 5.11140533e+02, -1.92620516e+00, -1.22912111e+01
5.44312191e+00, 3.17501067e-03, 6.47094995e-02, 8.80682266e+04, 1.02394068e+00, 3.47036804e+02, 1.55511463e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.80682266e+04, 2.99576630e+02, 2.74520373e+00, 3.50386969e+05, 4.44566986e+02, 5.39681580e+02, 5.39648621e+02, -1.47368923e-01, 5.96372414e+00
5.44312191e+00, -3.17500741e-03, 6.47094995e-02, 1.11741953e+05, 1.24166453e+00, 3.54984619e+02, 1.44603837e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11741953e+05, 3.13455505e+02, 2.97381926e+00, 3.79618406e+05, 4.44627747e+02, 5.13321228e+02, 5.13157043e+02, -3.43576145e+00, -1.25182152e+01
5.43121576e+00, 3.17500951e-03, 6.47094995e-02, 8.74986484e+04, 1.01816452e+00, 3.46892670e+02, 1.55709934e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.74986484e+04, 2.99327820e+02, 2.73540521e+00, 3.49136906e+05, 4.44567780e+02, 5.40146057e+02, 5.40129333e+02, 4.42376196e-01, 4.22916126e+00
5.43121576e+00, -3.17500625e-03, 6.47094995e-02, 1.11747266e+05, 1.24174917e+00, 3.54980927e+02, 1.44609904e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11747266e+05, 3.13448975e+02, 2.97420502e+00, 3.79669125e+05, 4.44629486e+02, 5.13337463e+02, 5.13121826e+02, -3.60404325e+00, -1.44335995e+01
5.41931105e+00, 3.17500811e-03, 6.47094995e-02, 8.65326641e+04, 1.00955534e+00, 3.46440155e+02, 1.56331170e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.65326641e+04, 2.98547394e+02, 2.73000813e+00, 3.48447375e+05, 4.44566895e+02, 5.41592468e+02, 5.41591370e+02, 1.02300847e+00, 4.07305479e-01
5.41931105e+00, -3.17500485e-03, 6.47094995e-02, 1.11626125e+05, 1.24000108e+00, 3.55038452e+02, 1.44530368e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11626125e+05, 3.13550629e+02, 2.96761107e+00, 3.78827250e+05, 4.44629425e+02, 5.13137634e+02, 5.12821594e+02, -3.74701309e+00, -1.76122818e+01
5.40740490e+00, 3.17500695e-03, 6.47094995e-02, 8.42633828e+04, 9.88209128e-01, 3.45539276e+02, 1.57566106e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.42633828e+04, 2.96996796e+02, 2.70718741e+00, 3.45530625e+05, 4.44561768e+02, 5.44451660e+02, 5.44427612e+02, 7.60737598e-01, -5.05847263e+00
5.40740490e+00, -3.17500369e-03, 6.47094995e-02, 1.10071953e+05, 1.22504508e+00, 3.54703461e+02, 1.44992411e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10071953e+05, 3.12959198e+02, 2.94565725e+00, 3.76024031e+05, 4.44628510e+02, 5.14292847e+02, 5.13833435e+02, -3.06156158e+00, -2.15157604e+01
