##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:38:08
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 8.55986406e+04, 1.01326692e+00, 3.43918427e+02, 1.61643970e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.55986406e+04, 2.94217896e+02, 2.89762115e+00, 3.72751250e+05, 4.48065399e+02, 5.55881042e+02, 5.44253906e+02, 5.85263290e+01, 9.67783432e+01
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 6.25243008e+04, 7.56169498e-01, 3.40265747e+02, 1.66634369e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.25243008e+04, 2.88002350e+02, 2.28123450e+00, 2.93442500e+05, 4.48040161e+02, 5.66982605e+02, 5.50687378e+02, 1.08066872e+02, -8.08347015e+01
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 8.65389922e+04, 1.02223945e+00, 3.44296875e+02, 1.61125028e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.65389922e+04, 2.94864868e+02, 2.90773869e+00, 3.74051375e+05, 4.48063721e+02, 5.54744568e+02, 5.42305237e+02, 5.69491043e+01, 1.01996918e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 6.44517656e+04, 7.84403086e-01, 3.39199982e+02, 1.68092644e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.44517656e+04, 2.86199829e+02, 2.40367651e+00, 3.09188219e+05, 4.48033844e+02, 5.70134033e+02, 5.50863464e+02, 1.25596596e+02, -7.63397827e+01
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 8.56467422e+04, 1.04147661e+00, 3.39342194e+02, 1.67912328e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.56467422e+04, 2.86442719e+02, 3.18572116e+00, 4.09809156e+05, 4.48061707e+02, 5.69748352e+02, 5.58514465e+02, 4.36586494e+01, 1.03772224e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 2.83426094e+04, 3.31603080e-01, 3.45951874e+02, 1.58837533e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.83426094e+04, 2.97706512e+02, 9.20709133e-01, 1.18428703e+05, 4.48020966e+02, 5.49492859e+02, 5.20541260e+02, 1.51606491e+02, -8.94130173e+01
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 2.83446758e+04, 3.31629217e-01, 3.45951904e+02, 1.58837485e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.83446758e+04, 2.97706573e+02, 9.20798302e-01, 1.18440164e+05, 4.48020935e+02, 5.49496460e+02, 5.20542053e+02, 1.51627380e+02, -8.93950806e+01
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 3.54688906e+04, 3.17980200e-01, 3.95209778e+02, 8.73776495e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.54688906e+04, 3.88518311e+02, 4.53586519e-01, 5.83256172e+04, 4.47881439e+02, 3.45311768e+02, 3.37439880e+02, 6.30419540e+01, 3.74198990e+01
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 3.54718594e+04, 3.18018645e-01, 3.95200653e+02, 8.73905361e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.54718594e+04, 3.88502167e+02, 4.53739405e-01, 5.83452852e+04, 4.47881531e+02, 3.45339264e+02, 3.37464020e+02, 6.30620155e+01, 3.74221954e+01
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 3.53032031e+04, 3.16815645e-01, 3.95006348e+02, 8.76937389e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.53032031e+04, 3.88121674e+02, 4.53104854e-01, 5.82603906e+04, 4.47856171e+02, 3.46313293e+02, 3.36874847e+02, 7.29998703e+01, 3.34552536e+01
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 3.53040898e+04, 3.16823274e-01, 3.95006439e+02, 8.76935601e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.53040898e+04, 3.88121857e+02, 4.53115016e-01, 5.82617070e+04, 4.47856171e+02, 3.46337036e+02, 3.36875305e+02, 7.31079559e+01, 3.34604988e+01
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.58310469e+04, 3.22857022e-01, 3.94206543e+02, 8.90054226e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.58310469e+04, 3.86552582e+02, 4.66427028e-01, 5.99711328e+04, 4.47839508e+02, 3.50765320e+02, 3.36423523e+02, 9.50064240e+01, 2.87976131e+01
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.58318555e+04, 3.22864801e-01, 3.94205261e+02, 8.90072167e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.58318555e+04, 3.86550507e+02, 4.66454595e-01, 5.99746797e+04, 4.47839539e+02, 3.50815552e+02, 3.36427826e+02, 9.51758118e+01, 2.87998104e+01
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.61175664e+04, 3.27121317e-01, 3.93194366e+02, 9.06542242e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61175664e+04, 3.84566681e+02, 4.78547007e-01, 6.15262148e+04, 4.47815918e+02, 3.56430969e+02, 3.36372131e+02, 1.15491905e+02, 2.36314945e+01
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.61158828e+04, 3.27105701e-01, 3.93194946e+02, 9.06534910e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.61158828e+04, 3.84567596e+02, 4.78516310e-01, 6.15222695e+04, 4.47815857e+02, 3.56434021e+02, 3.36369843e+02, 1.15507950e+02, 2.36314449e+01
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.59111758e+04, 3.26352417e-01, 3.92528992e+02, 9.17030573e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.59111758e+04, 3.83267761e+02, 4.81393129e-01, 6.18859609e+04, 4.47771118e+02, 3.59906738e+02, 3.37373932e+02, 1.23801216e+02, 1.96197357e+01
