##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 14:53:53
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.59164453e+04, 3.26377034e-01, 3.92542969e+02, 9.16804135e-01, 3.59164453e+04, 3.83295013e+02, 3.59829773e+02
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.59175000e+04, 3.26386780e-01, 3.92542664e+02, 9.16806996e-01, 3.59175000e+04, 3.83294647e+02, 3.59857239e+02
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.63585586e+04, 3.32030833e-01, 3.91570618e+02, 9.32162166e-01, 3.63585586e+04, 3.81400421e+02, 3.64922516e+02
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.63593828e+04, 3.32038134e-01, 3.91570343e+02, 9.32164848e-01, 3.63593828e+04, 3.81400024e+02, 3.64979858e+02
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.77331211e+04, 3.43629628e-01, 3.92100677e+02, 9.22765315e-01, 3.77331211e+04, 3.82432739e+02, 3.61754639e+02
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.77259609e+04, 3.43562961e-01, 3.92103241e+02, 9.22734141e-01, 3.77259609e+04, 3.82436707e+02, 3.61772156e+02
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.82769805e+04, 3.45242709e-01, 3.94010712e+02, 8.91259670e-01, 3.82769805e+04, 3.86167328e+02, 3.51106110e+02
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.82783555e+04, 3.45255673e-01, 3.94010437e+02, 8.91263008e-01, 3.82783555e+04, 3.86166901e+02, 3.51142914e+02
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.12635313e+04, 2.88435727e-01, 3.89510468e+02, 9.63383913e-01, 3.12635313e+04, 3.77401733e+02, 3.75037903e+02
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.12662773e+04, 2.88435042e-01, 3.89532074e+02, 9.63078678e-01, 3.12662773e+04, 3.77439362e+02, 3.75035309e+02
5.50311518e+00, 3.38228823e-08, 6.39500022e-02, 2.22023555e+04, 2.08950728e-01, 3.85727417e+02, 1.02234232e+00, 2.22023555e+04, 3.70099396e+02, 3.94210114e+02
5.50311518e+00, -4.52883278e-08, 6.39500022e-02, 2.22002070e+04, 2.08929643e-01, 3.85728516e+02, 1.02232671e+00, 2.22002070e+04, 3.70101105e+02, 3.94213379e+02
5.50408888e+00, 5.61433035e-06, 5.24199009e-02, 4.82156563e+04, 5.20519376e-01, 3.60167419e+02, 1.39076686e+00, 4.82156563e+04, 3.22680786e+02, 5.00824371e+02
5.50408888e+00, -4.26691440e-06, 5.24199009e-02, 4.82061602e+04, 5.20401001e-01, 3.60168060e+02, 1.39075696e+00, 4.82061602e+04, 3.22681519e+02, 5.00776398e+02
5.49854422e+00, 3.17484885e-03, 5.27324006e-02, 9.99302656e+04, 1.02754676e+00, 3.69020264e+02, 1.26845574e+00, 9.99302656e+04, 3.38732849e+02, 4.68082184e+02
5.49854422e+00, -3.17484559e-03, 5.27324006e-02, 1.12785453e+05, 1.14579701e+00, 3.71257080e+02, 1.23694289e+00, 1.12785453e+05, 3.42851776e+02, 4.59219727e+02
5.47883892e+00, 3.17501440e-03, 6.47094995e-02, 8.91759063e+04, 1.04613078e+00, 3.45489044e+02, 1.59441137e+00, 8.91759063e+04, 2.96910431e+02, 5.50851685e+02
5.47883892e+00, -3.17501114e-03, 6.47094995e-02, 1.00682633e+05, 1.15324259e+00, 3.49639496e+02, 1.53772628e+00, 1.00682633e+05, 3.04086975e+02, 5.37649841e+02
5.46693277e+00, 3.17501323e-03, 6.47094995e-02, 9.35305391e+04, 1.07581949e+00, 3.48907623e+02, 1.54781985e+00, 9.35305391e+04, 3.02815247e+02, 5.40045532e+02
5.46693277e+00, -3.17500997e-03, 6.47094995e-02, 1.05621547e+05, 1.18699074e+00, 3.52984863e+02, 1.49208355e+00, 1.05621547e+05, 3.09933868e+02, 5.26682373e+02
5.45502710e+00, 3.17501184e-03, 6.47094995e-02, 9.37693203e+04, 1.07822549e+00, 3.48962189e+02, 1.54709792e+00, 9.37693203e+04, 3.02910034e+02, 5.39877441e+02
5.45502710e+00, -3.17500858e-03, 6.47094995e-02, 1.05570852e+05, 1.18667865e+00, 3.52946014e+02, 1.49264181e+00, 1.05570852e+05, 3.09865692e+02, 5.26820740e+02
5.44312191e+00, 3.17501067e-03, 6.47094995e-02, 9.29782969e+04, 1.07244825e+00, 3.48422363e+02, 1.55451465e+00, 9.29782969e+04, 3.01973480e+02, 5.41627319e+02
5.44312191e+00, -3.17500741e-03, 6.47094995e-02, 1.04693500e+05, 1.18060482e+00, 3.52379852e+02, 1.50042760e+00, 1.04693500e+05, 3.08872345e+02, 5.28719971e+02
5.43121576e+00, 3.17500951e-03, 6.47094995e-02, 9.25222266e+04, 1.06815815e+00, 3.48264099e+02, 1.55669188e+00, 9.25222266e+04, 3.01699280e+02, 5.42139648e+02
5.43121576e+00, -3.17500625e-03, 6.47094995e-02, 1.04686375e+05, 1.18060470e+00, 3.52367920e+02, 1.50060034e+00, 1.04686375e+05, 3.08851318e+02, 5.28763306e+02
5.41931105e+00, 3.17500811e-03, 6.47094995e-02, 9.17585391e+04, 1.06165779e+00, 3.47883942e+02, 1.56190562e+00, 9.17585391e+04, 3.01040955e+02, 5.43360840e+02
5.41931105e+00, -3.17500485e-03, 6.47094995e-02, 1.04398953e+05, 1.17782295e+00, 3.52299164e+02, 1.50154698e+00, 1.04398953e+05, 3.08730865e+02, 5.28993103e+02
5.40740490e+00, 3.17500695e-03, 6.47094995e-02, 8.95836641e+04, 1.04151416e+00, 3.47043823e+02, 1.57340026e+00, 8.95836641e+04, 2.99588837e+02, 5.46037659e+02
5.40740490e+00, -3.17500369e-03, 6.47094995e-02, 1.02657047e+05, 1.16150403e+00, 3.51792816e+02, 1.50849783e+00, 1.02657047e+05, 3.07844177e+02, 5.30678223e+02
5.39550018e+00, 3.17500578e-03, 6.47094995e-02, 9.10715391e+04, 1.05723214e+00, 3.47303925e+02, 1.56985819e+00, 9.10715391e+04, 3.00037994e+02, 5.45217773e+02
5.39550018e+00, -3.17500252e-03, 6.47094995e-02, 1.04524406e+05, 1.18083024e+00, 3.52061584e+02, 1.50484037e+00, 1.04524406e+05, 3.08314636e+02, 5.29796448e+02
5.38359404e+00, 3.17500439e-03, 6.47094995e-02, 9.05300625e+04, 1.05136669e+00, 3.47234436e+02, 1.57080197e+00, 9.05300625e+04, 2.99917938e+02, 5.45436279e+02
5.38359404e+00, -3.17500113e-03, 6.47094995e-02, 1.04187211e+05, 1.17724586e+00, 3.52027924e+02, 1.50529921e+00, 1.04187211e+05, 3.08255646e+02, 5.29907104e+02
5.37168789e+00, 3.17500322e-03, 6.47094995e-02, 9.05595156e+04, 1.05200064e+00, 3.47186310e+02, 1.57146788e+00, 9.05595156e+04, 2.99834717e+02, 5.45591919e+02
5.37168789e+00, -3.17499996e-03, 6.47094995e-02, 1.04210539e+05, 1.17704093e+00, 3.52097961e+02, 1.50433958e+00, 1.04210539e+05, 3.08378418e+02, 5.29674927e+02
5.35978317e+00, 3.17500206e-03, 6.47094995e-02, 9.02135469e+04, 1.04817533e+00, 3.47154175e+02, 1.57190681e+00, 9.02135469e+04, 2.99779266e+02, 5.45692871e+02
5.35978317e+00, -3.17499880e-03, 6.47094995e-02, 1.04648570e+05, 1.18022704e+00, 3.52360565e+02, 1.50074136e+00, 1.04648570e+05, 3.08838531e+02, 5.28801147e+02
5.34787703e+00, 3.17500066e-03, 6.47094995e-02, 8.79020469e+04, 1.02519321e+00, 3.46495117e+02, 1.58093095e+00, 8.79020469e+04, 2.98642273e+02, 5.47780457e+02
5.34787703e+00, -3.17499740e-03, 6.47094995e-02, 1.03678281e+05, 1.16899478e+00, 3.52403748e+02, 1.50014794e+00, 1.03678281e+05, 3.08914154e+02, 5.28654846e+02
5.33597183e+00, 3.17499950e-03, 6.47094995e-02, 8.67276641e+04, 1.01698399e+00, 3.45561462e+02, 1.59372699e+00, 8.67276641e+04, 2.97034851e+02, 5.50730591e+02
5.33597183e+00, -3.17499624e-03, 6.47094995e-02, 1.05205438e+05, 1.18600714e+00, 3.52434967e+02, 1.49975383e+00, 1.05205438e+05, 3.08968933e+02, 5.28565674e+02
5.32470322e+00, 3.17532104e-03, 6.55393004e-02, 8.38310234e+04, 9.90282357e-01, 3.44290833e+02, 1.61110818e+00, 8.38310234e+04, 2.94854584e+02, 5.54688904e+02
5.32470322e+00, -3.17531778e-03, 6.55393004e-02, 1.02842227e+05, 1.16199267e+00, 3.52036346e+02, 1.50520897e+00, 1.02842227e+05, 3.08270447e+02, 5.29888062e+02
5.31343508e+00, 3.17569659e-03, 6.63691014e-02, 8.22401250e+04, 9.77350831e-01, 3.43257080e+02, 1.62526655e+00, 8.22401250e+04, 2.93086609e+02, 5.57883179e+02
5.31343508e+00, -3.17569333e-03, 6.63691014e-02, 1.01515516e+05, 1.15027165e+00, 3.51535675e+02, 1.51207614e+00, 1.01515516e+05, 3.07394135e+02, 5.31547241e+02
5.30216694e+00, 3.17607215e-03, 6.71989024e-02, 8.05522344e+04, 9.61226761e-01, 3.42554260e+02, 1.63488948e+00, 8.05522344e+04, 2.91887543e+02, 5.60033081e+02
5.30216694e+00, -3.17606889e-03, 6.71989024e-02, 1.00415023e+05, 1.14102876e+00, 3.51038116e+02, 1.51889825e+00, 1.00415023e+05, 3.06524658e+02, 5.33190735e+02
5.29089880e+00, 3.17644770e-03, 6.80287033e-02, 7.93613281e+04, 9.50449526e-01, 3.41934937e+02, 1.64338553e+00, 7.93613281e+04, 2.90833069e+02, 5.61930908e+02
5.29089880e+00, -3.17644444e-03, 6.80287033e-02, 9.85684766e+04, 1.12459636e+00, 3.50327515e+02, 1.52863884e+00, 9.85684766e+04, 3.05284943e+02, 5.35524109e+02
5.27963018e+00, 3.17745772e-03, 6.88584968e-02, 7.78000469e+04, 9.34589267e-01, 3.41415375e+02, 1.65050077e+00, 7.78000469e+04, 2.89949890e+02, 5.63505188e+02
5.27963018e+00, -3.17745446e-03, 6.88584968e-02, 9.77018047e+04, 1.11741352e+00, 3.49902557e+02, 1.53447032e+00, 9.77018047e+04, 3.04544800e+02, 5.36914612e+02
5.26836205e+00, 3.17783351e-03, 6.96882978e-02, 7.71449375e+04, 9.29735959e-01, 3.40860596e+02, 1.65812159e+00, 7.71449375e+04, 2.89008423e+02, 5.65185364e+02
5.26836205e+00, -3.17783025e-03, 6.96882978e-02, 9.66996250e+04, 1.10800374e+00, 3.49578949e+02, 1.53890610e+00, 9.66996250e+04, 3.03981720e+02, 5.37968262e+02
5.25709391e+00, 3.17733362e-03, 7.05180988e-02, 7.57539531e+04, 9.16046143e-01, 3.40288574e+02, 1.66597271e+00, 7.57539531e+04, 2.88039215e+02, 5.66910522e+02
5.25709391e+00, -3.17733036e-03, 7.05180988e-02, 9.60225859e+04, 1.10258973e+00, 3.49207245e+02, 1.54401422e+00, 9.60225859e+04, 3.03335602e+02, 5.39179321e+02
5.24582481e+00, 3.17721954e-03, 7.13478997e-02, 7.52672188e+04, 9.11452472e-01, 3.40047455e+02, 1.66929293e+00, 7.52672188e+04, 2.87631104e+02, 5.67638611e+02
5.24582481e+00, -3.17721628e-03, 7.13478997e-02, 9.50540313e+04, 1.09160411e+00, 3.49185486e+02, 1.54431999e+00, 9.50540313e+04, 3.03297821e+02, 5.39254150e+02
5.23455715e+00, 3.17639927e-03, 7.21777007e-02, 7.44987734e+04, 9.04233634e-01, 3.39654114e+02, 1.67470038e+00, 7.44987734e+04, 2.86966187e+02, 5.68818298e+02
5.23455715e+00, -3.17639601e-03, 7.21777007e-02, 9.46764375e+04, 1.08733809e+00, 3.49174072e+02, 1.54449689e+00, 9.46764375e+04, 3.03278015e+02, 5.39295837e+02
5.22328901e+00, 3.17557901e-03, 7.30075017e-02, 7.35632500e+04, 8.96113336e-01, 3.39041199e+02, 1.68311214e+00, 7.35632500e+04, 2.85931274e+02, 5.70640808e+02
5.22328901e+00, -3.17557575e-03, 7.30075017e-02, 9.42230391e+04, 1.08259737e+00, 3.49098999e+02, 1.54554224e+00, 9.42230391e+04, 3.03147552e+02, 5.39543762e+02
5.21202087e+00, 3.17499950e-03, 7.38373026e-02, 6.89250156e+04, 8.42536211e-01, 3.38449463e+02, 1.69122505e+00, 6.89250156e+04, 2.84934204e+02, 5.72386536e+02
5.21202087e+00, -3.17499624e-03, 7.38373026e-02, 8.96388906e+04, 1.02808690e+00, 3.49413696e+02, 1.54123747e+00, 8.96388906e+04, 3.03694366e+02, 5.38522827e+02
5.20075178e+00, 3.17499950e-03, 7.46671036e-02, 7.19588750e+04, 8.55657697e-01, 3.43159210e+02, 1.62672973e+00, 7.19588750e+04, 2.92919434e+02, 5.58227295e+02
5.20075178e+00, -3.17499624e-03, 7.46671036e-02, 9.45340234e+04, 1.05570161e+00, 3.54100830e+02, 1.47704709e+00, 9.45340234e+04, 3.11896698e+02, 5.23023499e+02
5.19888878e+00, 3.17499950e-03, 7.47355968e-02, 7.42702422e+04, 8.72641683e-01, 3.45217621e+02, 1.59859169e+00, 7.42702422e+04, 2.96444061e+02, 5.51862000e+02
5.19888878e+00, -3.17499624e-03, 7.47355968e-02, 9.79159844e+04, 1.08487713e+00, 3.55500366e+02, 1.45788336e+00, 9.79159844e+04, 3.14366974e+02, 5.18278076e+02
