##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:19:01
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.41832547e+05, 1.50061941e+00, 3.63794495e+02, 1.34333575e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41832547e+05, 3.29207062e+02, 3.24201584e+00, 4.17083594e+05, 4.48096863e+02, 4.88697723e+02, 4.69791870e+02, 7.19230056e-01, 1.34612595e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.41832438e+05, 1.50061846e+00, 3.63794434e+02, 1.34333599e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41832438e+05, 3.29206970e+02, 3.24201536e+00, 4.17083594e+05, 4.48096832e+02, 4.88697723e+02, 4.69791962e+02, 7.18950927e-01, 1.34612274e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.41052203e+05, 1.49263489e+00, 3.63761383e+02, 1.34379816e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41052203e+05, 3.29147095e+02, 3.22623110e+00, 4.15053250e+05, 4.48097168e+02, 4.88821625e+02, 4.69917847e+02, -4.11056429e-01, 1.34623993e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.41052422e+05, 1.49263644e+00, 3.63761475e+02, 1.34379721e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41052422e+05, 3.29147308e+02, 3.22623086e+00, 4.15053188e+05, 4.48097137e+02, 4.88821411e+02, 4.69917419e+02, -4.11867291e-01, 1.34624771e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.38787750e+05, 1.47646666e+00, 3.62799957e+02, 1.35716593e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38787750e+05, 3.27409546e+02, 3.23377371e+00, 4.16023781e+05, 4.48097382e+02, 4.92379456e+02, 4.73709442e+02, 7.34809816e-01, 1.34299408e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.38787906e+05, 1.47646797e+00, 3.62800049e+02, 1.35716462e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.38787906e+05, 3.27409668e+02, 3.23377323e+00, 4.16023688e+05, 4.48097351e+02, 4.92379272e+02, 4.73709137e+02, 7.33504891e-01, 1.34300003e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 8.04954844e+04, 9.71237123e-01, 3.40602692e+02, 1.66184199e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.04954844e+04, 2.88577728e+02, 2.91432524e+00, 3.74897469e+05, 4.48062256e+02, 5.65893921e+02, 5.64367310e+02, 3.23740654e+01, 2.60266418e+01
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 7.88215625e+04, 9.47913527e-01, 3.41149689e+02, 1.65431333e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.88215625e+04, 2.89504211e+02, 2.82078719e+00, 3.62860094e+05, 4.48056427e+02, 5.64188721e+02, 5.62296997e+02, -3.92536850e+01, 2.42938805e+01
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 7.25643203e+04, 8.97088051e-01, 3.36544800e+02, 1.71751201e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25643203e+04, 2.81736572e+02, 2.85911155e+00, 3.67790844e+05, 4.48057465e+02, 5.78016602e+02, 5.77794250e+02, 9.27299500e+00, -1.30777121e+01
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 7.29238906e+04, 9.03230250e-01, 3.36228943e+02, 1.72185063e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.29238906e+04, 2.81208038e+02, 2.89222431e+00, 3.72049844e+05, 4.48056763e+02, 5.78932617e+02, 5.78498474e+02, -1.45737514e+01, -1.70310440e+01
5.43586111e+00, 3.17499950e-03, 2.02310994e-01, 7.77377656e+04, 9.44775581e-01, 3.39426971e+02, 1.67793071e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.77377656e+04, 2.86583313e+02, 2.88541651e+00, 3.71174000e+05, 4.48056641e+02, 5.69528870e+02, 5.69309265e+02, 1.12674503e+01, -1.10973682e+01
5.43586111e+00, -3.17499624e-03, 2.02310994e-01, 7.79220234e+04, 9.47148263e-01, 3.39403717e+02, 1.67825377e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.79220234e+04, 2.86544189e+02, 2.89371181e+00, 3.72241688e+05, 4.48057373e+02, 5.69597778e+02, 5.69291626e+02, -1.41783752e+01, -1.21495504e+01
5.44697285e+00, 3.17499950e-03, 2.02310994e-01, 8.24930234e+04, 9.86856580e-01, 3.42120972e+02, 1.64099252e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.24930234e+04, 2.91150208e+02, 2.89719844e+00, 3.72687656e+05, 4.48054260e+02, 5.61414001e+02, 5.61325256e+02, 7.66896486e+00, -6.39186716e+00
5.44697285e+00, -3.17499624e-03, 2.02310994e-01, 8.22622734e+04, 9.83835518e-01, 3.42166473e+02, 1.64037287e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.22622734e+04, 2.91227570e+02, 2.88643289e+00, 3.71303344e+05, 4.48054871e+02, 5.61276611e+02, 5.61151855e+02, -9.34882355e+00, -7.25247574e+00
