##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/15 15:54:24
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Pressure [ Pa ], Temperature [ K ], Velocity [ m s^-1 ]
5.30333281e+00, -3.18602011e-09, 1.46872699e-01, 1.39295656e+05, 1.48561263e+00, 3.62342712e+02, 1.36336780e+00, 1.39295656e+05, 3.26584747e+02, 4.94006104e+02
5.30333281e+00, -8.27907609e-09, 1.46872699e-01, 1.39295656e+05, 1.48561239e+00, 3.62342712e+02, 1.36336756e+00, 1.39295656e+05, 3.26584747e+02, 4.94005951e+02
5.34300900e+00, 1.25787200e-10, 1.69047996e-01, 1.38894266e+05, 1.48139095e+00, 3.62335632e+02, 1.36346233e+00, 1.38894266e+05, 3.26571960e+02, 4.94027100e+02
5.34300900e+00, -1.15909140e-08, 1.69047996e-01, 1.38894672e+05, 1.48139524e+00, 3.62335663e+02, 1.36346209e+00, 1.38894672e+05, 3.26571991e+02, 4.94027100e+02
5.38268518e+00, 3.43759443e-09, 1.91223294e-01, 1.37347016e+05, 1.46798682e+00, 3.61952911e+02, 1.36877418e+00, 1.37347016e+05, 3.25882446e+02, 4.95431641e+02
5.38268518e+00, -1.49027528e-08, 1.91223294e-01, 1.37347594e+05, 1.46799242e+00, 3.61952972e+02, 1.36877322e+00, 1.37347594e+05, 3.25882568e+02, 4.95431427e+02
5.41363621e+00, 3.13008321e-03, 2.02310994e-01, 5.94771328e+04, 7.28316128e-01, 3.38053162e+02, 1.69653797e+00, 5.94771328e+04, 2.84276428e+02, 5.73270935e+02
5.41363621e+00, -3.13008018e-03, 2.02310994e-01, 9.31917266e+04, 1.05664432e+00, 3.51386505e+02, 1.51409841e+00, 9.31917266e+04, 3.07134735e+02, 5.31959595e+02
5.42474794e+00, 3.17499950e-03, 2.02310994e-01, 4.81172266e+04, 6.16679907e-01, 3.30532959e+02, 1.80013216e+00, 4.81172266e+04, 2.71762054e+02, 5.94903503e+02
5.42474794e+00, -3.17499624e-03, 2.02310994e-01, 8.73432422e+04, 1.03359497e+00, 3.43982452e+02, 1.61547220e+00, 8.73432422e+04, 2.94326904e+02, 5.55677368e+02
5.43586111e+00, 3.17499950e-03, 2.02310994e-01, 4.36440547e+04, 5.69324136e-01, 3.27638214e+02, 1.84020638e+00, 4.36440547e+04, 2.67021576e+02, 6.02904114e+02
5.43586111e+00, -3.17499624e-03, 2.02310994e-01, 8.38314219e+04, 9.98701394e-01, 3.42837891e+02, 1.63114679e+00, 8.38314219e+04, 2.92371063e+02, 5.59211914e+02
5.44697285e+00, 3.17499950e-03, 2.02310994e-01, 3.92826797e+04, 5.07761657e-01, 3.29107819e+02, 1.81974852e+00, 3.92826797e+04, 2.69425049e+02, 5.98810913e+02
5.44697285e+00, -3.17499624e-03, 2.02310994e-01, 8.32031719e+04, 9.96824920e-01, 3.41864838e+02, 1.64448869e+00, 8.32031719e+04, 2.90716125e+02, 5.62159424e+02
5.45808601e+00, 3.17499950e-03, 2.02310994e-01, 3.48316445e+04, 4.59989905e-01, 3.25941742e+02, 1.86384761e+00, 3.48316445e+04, 2.64288818e+02, 6.06871216e+02
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 7.82320078e+04, 9.43487465e-01, 3.40743988e+02, 1.65982568e+00, 7.82320078e+04, 2.88810699e+02, 5.65542175e+02
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 3.21969922e+04, 4.14222538e-01, 3.29921051e+02, 1.80841053e+00, 3.21969922e+04, 2.70756104e+02, 5.96623108e+02
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 7.75847734e+04, 9.44215238e-01, 3.39200409e+02, 1.68098927e+00, 7.75847734e+04, 2.86200165e+02, 5.70186951e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 3.30565117e+04, 4.32931900e-01, 3.26988922e+02, 1.84902978e+00, 3.30565117e+04, 2.65965698e+02, 6.04546021e+02
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 7.61302969e+04, 9.59713399e-01, 3.33285767e+02, 1.76235187e+00, 7.61302969e+04, 2.76311066e+02, 5.87311829e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 1.84693066e+04, 2.17212349e-01, 3.45054504e+02, 1.60039020e+00, 1.84693066e+04, 2.96164246e+02, 5.52204956e+02
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 1.84740938e+04, 2.17273667e-01, 3.45055389e+02, 1.60037792e+00, 1.84740938e+04, 2.96165649e+02, 5.52212463e+02
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 3.14702031e+04, 2.97416806e-01, 3.84860779e+02, 1.03744924e+00, 3.14702031e+04, 3.68446198e+02, 3.99098877e+02
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 3.14732891e+04, 2.97453791e-01, 3.84854187e+02, 1.03753853e+00, 3.14732891e+04, 3.68435059e+02, 3.99116791e+02
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 3.45598281e+04, 3.18645537e-01, 3.89699829e+02, 9.62366045e-01, 3.45598281e+04, 3.77763275e+02, 3.74972260e+02
5.49434614e+00, -2.74845007e-07, 1.67720795e-01, 3.45607383e+04, 3.18654120e-01, 3.89699615e+02, 9.62367415e-01, 3.45607383e+04, 3.77763153e+02, 3.75014679e+02
5.49531984e+00, 4.30185906e-07, 1.56190693e-01, 3.61279648e+04, 3.32275808e-01, 3.90186249e+02, 9.54265296e-01, 3.61279648e+04, 3.78707611e+02, 3.72244598e+02
5.49531984e+00, -4.41655061e-07, 1.56190693e-01, 3.61289648e+04, 3.32287282e-01, 3.90184479e+02, 9.54289198e-01, 3.61289648e+04, 3.78704834e+02, 3.72317383e+02
5.49629498e+00, 2.16712639e-08, 1.44660607e-01, 3.68928906e+04, 3.39677811e-01, 3.89977325e+02, 9.56892431e-01, 3.68928906e+04, 3.78299561e+02, 3.73149078e+02
5.49629498e+00, -3.31365939e-08, 1.44660607e-01, 3.68912148e+04, 3.39662582e-01, 3.89977600e+02, 9.56889570e-01, 3.68912148e+04, 3.78299896e+02, 3.73154114e+02
5.49726915e+00, 1.88479731e-07, 1.33130506e-01, 3.64249102e+04, 3.36361587e-01, 3.89400269e+02, 9.64714527e-01, 3.64249102e+04, 3.77181946e+02, 3.75613190e+02
5.49726915e+00, -1.99946626e-07, 1.33130506e-01, 3.64260586e+04, 3.36373270e-01, 3.89399750e+02, 9.64720964e-01, 3.64260586e+04, 3.77181213e+02, 3.75647766e+02
5.49824286e+00, 3.55288194e-07, 1.21600397e-01, 3.66290430e+04, 3.39398265e-01, 3.88735504e+02, 9.73902047e-01, 3.66290430e+04, 3.75896912e+02, 3.78501831e+02
5.49824286e+00, -3.66756666e-07, 1.21600397e-01, 3.66301094e+04, 3.39409798e-01, 3.88734833e+02, 9.73910391e-01, 3.66301094e+04, 3.75895935e+02, 3.78570251e+02
5.50019217e+00, 1.08720577e-07, 9.85402986e-02, 3.77161445e+04, 3.46994489e-01, 3.90107727e+02, 9.49550867e-01, 3.77161445e+04, 3.78555237e+02, 3.70352570e+02
5.50019217e+00, -1.20186726e-07, 9.85402986e-02, 3.77091484e+04, 3.46928537e-01, 3.90110260e+02, 9.49515939e-01, 3.77091484e+04, 3.78559387e+02, 3.70369171e+02
5.50116587e+00, 2.75529061e-07, 8.70101973e-02, 3.80463047e+04, 3.47254336e-01, 3.91681610e+02, 9.23316896e-01, 3.80463047e+04, 3.81615021e+02, 3.61582520e+02
5.50116587e+00, -2.86996766e-07, 8.70101973e-02, 3.80480977e+04, 3.47272992e-01, 3.91681366e+02, 9.23319638e-01, 3.80480977e+04, 3.81614685e+02, 3.61628662e+02
5.50214005e+00, 4.42337523e-07, 7.54801035e-02, 3.11788633e+04, 2.90675253e-01, 3.87496887e+02, 9.89430904e-01, 3.11788633e+04, 3.73508240e+02, 3.83199280e+02
5.50214005e+00, -4.53806791e-07, 7.54801035e-02, 3.11817969e+04, 2.90678203e-01, 3.87517822e+02, 9.89134669e-01, 3.11817969e+04, 3.73544617e+02, 3.83209686e+02
5.50311518e+00, 3.38228823e-08, 6.39500022e-02, 2.26896016e+04, 2.13498667e-01, 3.85777313e+02, 1.01677608e+00, 2.26896016e+04, 3.70196106e+02, 3.92112213e+02
5.50311518e+00, -4.52883278e-08, 6.39500022e-02, 2.26874395e+04, 2.13476941e-01, 3.85778809e+02, 1.01675332e+00, 2.26874395e+04, 3.70198700e+02, 3.92113220e+02
5.50408888e+00, 5.61433035e-06, 5.24199009e-02, 4.92975898e+04, 5.20963371e-01, 3.64030426e+02, 1.33368039e+00, 4.92975898e+04, 3.29640930e+02, 4.85397766e+02
5.50408888e+00, -4.26691440e-06, 5.24199009e-02, 4.92941758e+04, 5.20910263e-01, 3.64035278e+02, 1.33361161e+00, 4.92941758e+04, 3.29648651e+02, 4.85364258e+02
5.49854422e+00, 3.17484885e-03, 5.27324006e-02, 9.42905078e+04, 9.74590600e-01, 3.68065674e+02, 1.27977872e+00, 9.42905078e+04, 3.36982666e+02, 4.71038696e+02
5.49854422e+00, -3.17484559e-03, 5.27324006e-02, 1.20612398e+05, 1.20860195e+00, 3.73814606e+02, 1.19870234e+00, 1.20612398e+05, 3.47591766e+02, 4.48088226e+02
5.47883892e+00, 3.17501440e-03, 6.47094995e-02, 8.44451250e+04, 9.99765813e-01, 3.43907471e+02, 1.61518085e+00, 8.44451250e+04, 2.94198303e+02, 5.55472839e+02
5.47883892e+00, -3.17501114e-03, 6.47094995e-02, 1.07375211e+05, 1.21307862e+00, 3.52055450e+02, 1.50411451e+00, 1.07375211e+05, 3.08303894e+02, 5.29531677e+02
5.46693277e+00, 3.17501323e-03, 6.47094995e-02, 8.84903672e+04, 1.02601898e+00, 3.47515137e+02, 1.56637919e+00, 8.84903672e+04, 3.00403046e+02, 5.44339722e+02
