##
## CFD-Post Generic Export
##
## CFX-25.1
##
## Generated on:  2025/08/17 23:53:21
##
## Generated from case(s): Case CFX
##

[Name]
Point Cloud 1

[Data]
X [ m ], Y [ m ], Z [ m ], Absolute Pressure [ Pa ], Density [ kg m^-3 ], Local Speed of Sound [ m s^-1 ], Mach Number, Normal X, Normal Y, Normal Z, Pressure [ Pa ], Temperature [ K ], Total Density [ kg m^-3 ], Total Pressure [ Pa ], Total Temperature [ K ], Velocity [ m s^-1 ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ], Velocity w [ m s^-1 ]
5.45808601e+00, -3.17499624e-03, 2.02310994e-01, 7.82321250e+04, 9.43488419e-01, 3.40744080e+02, 1.65982473e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.82321250e+04, 2.88810822e+02, 2.82627010e+00, 3.63558531e+05, 4.48047974e+02, 5.65541870e+02, 5.33803528e+02, 7.70640488e+01, 1.70154388e+02
5.46919823e+00, 3.17499950e-03, 2.02310994e-01, 3.21970859e+04, 4.14224267e-01, 3.29920868e+02, 1.80841351e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.21970859e+04, 2.70755768e+02, 1.45763195e+00, 1.87466438e+05, 4.47960266e+02, 5.96623657e+02, 5.43627136e+02, 1.98208221e+02, -1.45405746e+02
5.46919823e+00, -3.17499624e-03, 2.02310994e-01, 7.75848984e+04, 9.44216132e-01, 3.39200531e+02, 1.68098772e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.75848984e+04, 2.86200317e+02, 2.89336133e+00, 3.72188250e+05, 4.48047333e+02, 5.70186523e+02, 5.36794312e+02, 7.43722916e+01, 1.77294449e+02
5.48031092e+00, 3.17499950e-03, 2.02310994e-01, 3.30565820e+04, 4.32933450e-01, 3.26988708e+02, 1.84903300e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.30565820e+04, 2.65965332e+02, 1.59276748e+00, 2.04836891e+05, 4.47939972e+02, 6.04546692e+02, 5.42966003e+02, 2.26184357e+02, -1.39661209e+02
5.48031092e+00, -3.17499624e-03, 2.02310994e-01, 7.61304219e+04, 9.59714293e-01, 3.33285858e+02, 1.76235032e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.61304219e+04, 2.76311218e+02, 3.21218634e+00, 4.13200281e+05, 4.48047241e+02, 5.87311523e+02, 5.56170837e+02, 6.42828293e+01, 1.77416367e+02
5.49142313e+00, 3.43447056e-07, 2.02310994e-01, 1.84694805e+04, 2.17214480e-01, 3.45054443e+02, 1.60039115e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.84694805e+04, 2.96164124e+02, 6.10814333e-01, 7.85587969e+04, 4.47970551e+02, 5.52205200e+02, 4.96437744e+02, 2.41822525e+02, -1.41636074e+00
5.49142313e+00, -3.54910497e-07, 2.02310994e-01, 1.84742656e+04, 2.17275798e-01, 3.45055328e+02, 1.60037887e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.84742656e+04, 2.96165527e+02, 6.11026347e-01, 7.85860703e+04, 4.47970520e+02, 5.52212646e+02, 4.96436920e+02, 2.41841476e+02, -1.38384295e+00
5.49337196e+00, 1.01430423e-07, 1.79250807e-01, 3.14703945e+04, 2.97418207e-01, 3.84861023e+02, 1.03744531e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.14703945e+04, 3.68446686e+02, 4.84091461e-01, 6.22405039e+04, 4.47826324e+02, 3.99097626e+02, 3.55596039e+02, 1.69147614e+02, 6.49572983e+01
5.49337196e+00, -1.12896494e-07, 1.79250807e-01, 3.14734805e+04, 2.97455221e-01, 3.84854462e+02, 1.03753471e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.14734805e+04, 3.68435547e+02, 4.84234273e-01, 6.22588789e+04, 4.47826416e+02, 3.99115509e+02, 3.55618774e+02, 1.69141998e+02, 6.49574203e+01
5.49434614e+00, 2.63377416e-07, 1.67720795e-01, 3.45598594e+04, 3.18645656e-01, 3.89699951e+02, 9.62363839e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 3.45598594e+04, 3.77763550e+02, 4.87356573e-01, 6.26540820e+04, 4.47781799e+02, 3.74971527e+02, 3.44785248e+02, 1.40270676e+02, 4.52871284e+01
