speed,Mach,rho,mode,real,imag,freq,damping
300.0,1.6,1.225,1,-54698478.68383048,0.0,0.0,
300.0,1.6,1.225,2,22193418.52231431,0.0,0.0,
300.0,1.6,1.225,3,3756762.656669326,15543180.134691078,2473773.9498038366,-0.23493365749012587
300.0,1.6,1.225,4,3756762.656669326,-15543180.134691078,2473773.9498038366,-0.23493365749012587
300.0,1.6,1.225,5,8194640.088263992,0.0,0.0,
300.0,1.6,1.225,6,147998.72569279972,0.0,0.0,
300.0,1.6,1.225,7,19588.776257325953,53742.79559283222,8553.431574176575,-0.3424523192856619
300.0,1.6,1.225,8,19588.776257325953,-53742.79559283222,8553.431574176575,-0.3424523192856619
300.0,1.6,1.225,9,34934.949403526785,0.0,0.0,
300.0,1.6,1.225,10,-26573.900997604953,0.0,0.0,
300.0,1.6,1.225,11,-419235.21081308275,812848.774646984,129368.90047125758,0.4583841950033606
300.0,1.6,1.225,12,-419235.21081308275,-812848.774646984,129368.90047125758,0.4583841950033606
300.0,1.6,1.225,13,-2489.2682249180943,425983.5442859654,67797.3867489167,0.005843478599977245
300.0,1.6,1.225,14,-2489.2682249180943,-425983.5442859654,67797.3867489167,0.005843478599977245
300.0,1.6,1.225,15,-167915.88330158198,1414077.7670385924,225057.46654054162,0.11791742010604546
300.0,1.6,1.225,16,-167915.88330158198,-1414077.7670385924,225057.46654054162,0.11791742010604546
300.0,1.6,1.225,17,-44766.05340465857,517826.66268809687,82414.67303159014,0.08612863546022667
300.0,1.6,1.225,18,-44766.05340465857,-517826.66268809687,82414.67303159014,0.08612863546022667
300.0,1.6,1.225,19,-14081.523727478954,1362052.882263325,216777.4489647715,0.010337903490151927
300.0,1.6,1.225,20,-14081.523727478954,-1362052.882263325,216777.4489647715,0.010337903490151927
300.0,1.6,1.225,21,20731.52922136079,778871.2291345921,123961.20614883059,-0.026607978759164496
300.0,1.6,1.225,22,20731.52922136079,-778871.2291345921,123961.20614883059,-0.026607978759164496
300.0,1.6,1.225,23,-4419.234747247829,788546.033885389,125500.99914836886,0.005604194504009299
300.0,1.6,1.225,24,-4419.234747247829,-788546.033885389,125500.99914836886,0.005604194504009299
300.0,1.6,1.225,25,1478.523899971362,834807.2587174107,132863.70175387064,-0.0017710933459601317
300.0,1.6,1.225,26,1478.523899971362,-834807.2587174107,132863.70175387064,-0.0017710933459601317
300.0,1.6,1.225,27,-3890.1118442268926,1299548.0220720551,206829.4914980631,0.002993421058173971
300.0,1.6,1.225,28,-3890.1118442268926,-1299548.0220720551,206829.4914980631,0.002993421058173971
300.0,1.6,1.225,29,20744.02626086067,867177.6432650959,138015.60846442025,-0.023914469889619046
300.0,1.6,1.225,30,20744.02626086067,-867177.6432650959,138015.60846442025,-0.023914469889619046
300.0,1.6,1.225,31,64332.239054440346,1250390.7969291403,199005.876127887,-0.05138174548168883
300.0,1.6,1.225,32,64332.239054440346,-1250390.7969291403,199005.876127887,-0.05138174548168883
300.0,1.6,1.225,33,-31659.335482888448,885938.4053651714,141001.47648881836,0.03571257311301735
300.0,1.6,1.225,34,-31659.335482888448,-885938.4053651714,141001.47648881836,0.03571257311301735
300.0,1.6,1.225,35,7338.826421193837,1270992.7199790073,202284.77401847218,-0.005773993800461895
300.0,1.6,1.225,36,7338.826421193837,-1270992.7199790073,202284.77401847218,-0.005773993800461895
300.0,1.6,1.225,37,-25932.99439467286,1257119.493932481,200076.78151653628,0.020624513713212757
